UPC: 848971015315, BASE TOTAL COST: 72.45, BASE DOLLAR ROI: -28.46, BASE PERCENT ROI: -39, GCG TOTAL COST: 71.05, GCG DOLLAR ROI: -27.06, GCG PERCENT ROI: -38
UPC: 848971015292, BASE TOTAL COST: 72.45, BASE DOLLAR ROI: -28.46, BASE PERCENT ROI: -39, GCG TOTAL COST: 71.05, GCG DOLLAR ROI: -27.06, GCG PERCENT ROI: -38
UPC: 848971016367, BASE TOTAL COST: 43.89, BASE DOLLAR ROI: -17.9, BASE PERCENT ROI: -41, GCG TOTAL COST: 43.04, GCG DOLLAR ROI: -17.05, GCG PERCENT ROI: -40
UPC: 848971016329, BASE TOTAL COST: 43.89, BASE DOLLAR ROI: 8.1, BASE PERCENT ROI: 18, GCG TOTAL COST: 43.04, GCG DOLLAR ROI: 8.95, GCG PERCENT ROI: 21
UPC: 848971030974, BASE TOTAL COST: 29.74, BASE DOLLAR ROI: 35.25, BASE PERCENT ROI: 119, GCG TOTAL COST: 29.18, GCG DOLLAR ROI: 35.81, GCG PERCENT ROI: 123
UPC: 848971030899, BASE TOTAL COST: 25.5, BASE DOLLAR ROI: 29.49, BASE PERCENT ROI: 116, GCG TOTAL COST: 25.02, GCG DOLLAR ROI: 29.97, GCG PERCENT ROI: 120
UPC: 848971015858, BASE TOTAL COST: 72.45, BASE DOLLAR ROI: -30.46, BASE PERCENT ROI: -42, GCG TOTAL COST: 71.05, GCG DOLLAR ROI: -29.06, GCG PERCENT ROI: -41
UPC: 848971015834, BASE TOTAL COST: 69.77, BASE DOLLAR ROI: 26.22, BASE PERCENT ROI: 38, GCG TOTAL COST: 68.43, GCG DOLLAR ROI: 27.56, GCG PERCENT ROI: 40
UPC: 848971015773, BASE TOTAL COST: 79.31, BASE DOLLAR ROI: -31.32, BASE PERCENT ROI: -39, GCG TOTAL COST: 77.78, GCG DOLLAR ROI: -29.79, GCG PERCENT ROI: -38
UPC: 848971030851, BASE TOTAL COST: 23.38, BASE DOLLAR ROI: 26.61, BASE PERCENT ROI: 114, GCG TOTAL COST: 22.94, GCG DOLLAR ROI: 27.05, GCG PERCENT ROI: 118
UPC: 848971015476, BASE TOTAL COST: 45.08, BASE DOLLAR ROI: -11.09, BASE PERCENT ROI: -25, GCG TOTAL COST: 44.22, GCG DOLLAR ROI: -10.23, GCG PERCENT ROI: -23
